LGA_CODE_2011,LGA_NAME_2011,LGA_CODE_2016,LGA_NAME_2016,RATIO,PERCENTAGE
54830,Kwinana (T),54830,Kwinana (C),1,100
54900,Lake Grace (S),54900,Lake Grace (S),1,100
54970,Laverton (S),54970,Laverton (S),1,100
55040,Leonora (S),55040,Leonora (S),1,100
55110,Mandurah (C),55110,Mandurah (C),0.9999999,99.9999928
55180,Manjimup (S),55180,Manjimup (S),1,100
55250,Meekatharra (S),55250,Meekatharra (S),1,100
55320,Melville (C),55320,Melville (C),1,100
55390,Menzies (S),55390,Menzies (S),1,100
55460,Merredin (S),55460,Merredin (S),1,100
55530,Mingenew (S),55530,Mingenew (S),1,100
55600,Moora (S),55600,Moora (S),1,100
55670,Morawa (S),55670,Morawa (S),1,100
55740,Mosman Park (T),55740,Mosman Park (T),1,100
55810,Mount Magnet (S),55810,Mount Magnet (S),1,100
55880,Mount Marshall (S),55880,Mount Marshall (S),1,100
55950,Mukinbudin (S),55950,Mukinbudin (S),0.9978277,99.7827662
55950,Mukinbudin (S),56860,Nungarin (S),0.0021723,0.2172338
56020,Mullewa (S),53800,Greater Geraldton (C),1,100
56090,Mundaring (S),56090,Mundaring (S),1,100
56160,Murchison (S),56160,Murchison (S),1,100
56230,Murray (S),56230,Murray (S),1,100
56300,Nannup (S),56300,Nannup (S),1,100
56370,Narembeen (S),56370,Narembeen (S),1,100
56450,Narrogin (S),56460,Narrogin (S),1,100
56520,Narrogin (T),56460,Narrogin (S),1,100
56580,Nedlands (C),56580,Nedlands (C),1,100
56620,Ngaanyatjarraku (S),56620,Ngaanyatjarraku (S),1,100
56730,Northam (S),56730,Northam (S),1,100
56790,Northampton (S),53800,Greater Geraldton (C),0.0006547,0.0654721
56790,Northampton (S),56790,Northampton (S),0.9993453,99.9345279
56860,Nungarin (S),56860,Nungarin (S),1,100
56930,Peppermint Grove (S),56930,Peppermint Grove (S),1,100
57000,Perenjori (S),57000,Perenjori (S),1,100
57080,Perth (C),57080,Perth (C),1,100
57140,Pingelly (S),57140,Pingelly (S),1,100
57210,Plantagenet (S),57210,Plantagenet (S),1,100
57280,Port Hedland (T),57280,Port Hedland (T),1,100
57350,Quairading (S),57350,Quairading (S),1,100
57420,Ravensthorpe (S),57420,Ravensthorpe (S),0.9999995,99.999953
57490,Rockingham (C),57490,Rockingham (C),1,100
57560,Roebourne (S),54310,Karratha (C),1,100
57630,Sandstone (S),57630,Sandstone (S),1,100
57700,Serpentine-Jarrahdale (S),57700,Serpentine-Jarrahdale (S),1,100
57770,Shark Bay (S),57770,Shark Bay (S),1,100
57840,South Perth (C),57840,South Perth (C),1,100
57910,Stirling (C),57910,Stirling (C),1,100
57980,Subiaco (C),57980,Subiaco (C),1,100
58050,Swan (C),58050,Swan (C),1,100
58190,Tammin (S),58190,Tammin (S),1,100
58260,Three Springs (S),58260,Three Springs (S),1,100
58330,Toodyay (S),58330,Toodyay (S),1,100
58400,Trayning (S),58400,Trayning (S),1,100
58470,Upper Gascoyne (S),58470,Upper Gascoyne (S),1,100
58510,Victoria Park (T),58510,Victoria Park (T),1,100
58540,Victoria Plains (S),58540,Victoria Plains (S),1,100
58570,Vincent (T),58570,Vincent (C),1,100
58610,Wagin (S),58610,Wagin (S),1,100
58680,Wandering (S),58680,Wandering (S),1,100
58760,Wanneroo (C),58760,Wanneroo (C),1,100
58820,Waroona (S),58820,Waroona (S),1,100
58890,West Arthur (S),58890,West Arthur (S),1,100
59030,Westonia (S),59030,Westonia (S),1,100
59100,Wickepin (S),59100,Wickepin (S),1,100
59170,Williams (S),59170,Williams (S),1,100
59250,Wiluna (S),59250,Wiluna (S),1,100
59310,Wongan-Ballidu (S),59310,Wongan-Ballidu (S),1,100
59320,Woodanilling (S),59320,Woodanilling (S),1,100
59330,Wyalkatchem (S),59330,Wyalkatchem (S),1,100
59340,Wyndham-East Kimberley (S),59340,Wyndham-East Kimberley (S),0.9999826,99.9982567
59350,Yalgoo (S),59350,Yalgoo (S),1,100
59360,Yilgarn (S),59360,Yilgarn (S),1,100
59370,York (S),59370,York (S),1,100
59499,No usual address (WA),59499,No usual address (WA),1,100
60210,Break O'Day (M),60210,Break O'Day (M),1,100
60410,Brighton (M),60410,Brighton (M),1,100
60610,Burnie (C),60610,Burnie (C),1,100
60810,Central Coast (M),60810,Central Coast (M) (Tas.),1,100
61010,Central Highlands (M),61010,Central Highlands (M) (Tas.),1,100
61210,Circular Head (M),61210,Circular Head (M),1,100
61410,Clarence (C),61410,Clarence (C),1,100
61510,Derwent Valley (M),61510,Derwent Valley (M),1,100
61610,Devonport (C),61610,Devonport (C),1,100
61810,Dorset (M),61810,Dorset (M),0.9999999,99.9999853
62010,Flinders (M),62010,Flinders (M) (Tas.),1,100
62210,George Town (M),62210,George Town (M),1,100
62410,Glamorgan/Spring Bay (M),62410,Glamorgan/Spring Bay (M),1,100
62610,Glenorchy (C),62610,Glenorchy (C),1,100
62810,Hobart (C),62810,Hobart (C),1,100
63010,Huon Valley (M),63010,Huon Valley (M),1,100
63210,Kentish (M),63210,Kentish (M),1,100
63410,King Island (M),63410,King Island (M),0.9999713,99.997127
63610,Kingborough (M),63610,Kingborough (M),1,99.999997
63810,Latrobe (M),63810,Latrobe (M) (Tas.),1,100
64010,Launceston (C),64010,Launceston (C),1,100
64210,Meander Valley (M),64210,Meander Valley (M),1,100
64610,Northern Midlands (M),64610,Northern Midlands (M),1,100
64810,Sorell (M),64810,Sorell (M),1,100
65010,Southern Midlands (M),65010,Southern Midlands (M),1,100
65210,Tasman (M),65210,Tasman (M),1,100
65410,Waratah/Wynyard (M),65410,Waratah/Wynyard (M),1,100
65610,West Coast (M),65610,West Coast (M),1,100
65810,West Tamar (M),65810,West Tamar (M),1,100
69499,No usual address (Tas.),69499,No usual address (Tas.),1,100
70200,Alice Springs (T),70200,Alice Springs (T),1,100
70420,Barkly (S),70420,Barkly (R),1,100
70540,Belyuen (S),70540,Belyuen (S),1,100
70620,Central Desert (S),70620,Central Desert (R),1,100
70700,Coomalie (S),70700,Coomalie (S),1,100
71000,Darwin (C),71000,Darwin (C),1,100
71300,East Arnhem (S),71300,East Arnhem (R),0.9999999,99.999989
72200,Katherine (T),72200,Katherine (T),1,100
72300,Litchfield (M),72300,Litchfield (M),1,100
72330,MacDonnell (S),72330,MacDonnell (R),1,100
72800,Palmerston (C),72800,Palmerston (C),1,100
73600,Roper Gulf (S),73600,Roper Gulf (R),1,100
74050,Tiwi Islands (S),74050,Tiwi Islands (R),1,100
74500,Victoria-Daly (S),74550,Victoria Daly (R),0.4897946,48.979463
74500,Victoria-Daly (S),74680,West Daly (R),0.5102054,51.020537
74560,Wagait (S),74560,Wagait (S),1,100
74660,West Arnhem (S),74660,West Arnhem (R),0.9999998,99.9999839
79399,Unincorporated NT,79399,Unincorporated NT,1,100
79499,No usual address (NT),79499,No usual address (NT),1,100
89399,Unincorporated ACT,89399,Unincorporated ACT,1,100
89499,No usual address (ACT),89499,No usual address (ACT),1,100
99399,Unincorp. Other Territories,99399,Unincorp. Other Territories,1,100
99499,No usual address (OT),99499,No usual address (OT),1,100
